Gene ID,Localization,Product Description,Category,CtermTryptag,NtermTryptag
Tb927.1.4020,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.1.470,Unknown,"Protein of Unknown function (DUF1181), putative",ZUnknown,Unknown,Unknown
Tb927.1.490,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.1.4920,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.1.4970,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.1.5150,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.1.5160,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.1.5180,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.1.5250,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.1.5260,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.1.820,Unknown,kelch domain-containing protein,ZUnknown,Unknown,Unknown
Tb927.1.890,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.1000,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.10040,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.1010,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.10100,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.1020,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.10270,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.10300,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.10430,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.10680,Unknown,"zinc finger protein, RanBP2-type, putative",ZUnknown,Unknown,Unknown
Tb927.10.10770,Unknown,"Generative cell specific 1 protein, putative",ZUnknown,Unknown,Unknown
Tb927.10.10790,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.11010,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.11040,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.11240,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.11280,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.11290,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.11460,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.11470,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.11560,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.11710,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.1190,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.11920,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.120,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.12070,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.12080,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.12140,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.12150,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.12160,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.1220,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.12280,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.12300,Unknown,Cardiolipin-dependent protein 15kDa,ZUnknown,Unknown,Unknown
Tb927.10.12340,Unknown,"zinc finger protein, RanBP2-type, putative",ZUnknown,Unknown,Unknown
Tb927.10.12480,Unknown,"UAA transporter family, putative",ZUnknown,Unknown,Unknown
Tb927.10.12560,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.12570,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.12580,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.12610,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.12650,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.12730,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.12750,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.1290,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.12900,Unknown,"Complex 1 protein (LYR family), putative",ZUnknown,Unknown,Unknown
Tb927.10.130,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.1300,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.13060,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.13080,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.1330,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.13390,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.13410,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.13420,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.13440,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.13530,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.13590,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.13690,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.13750,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.13890,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.13910,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.140,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.14050,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.14060,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.14100,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.14120,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.14290,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.14450,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.14540,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.14670,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.1480,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.14900,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.14920,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.14960,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.15033,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.15090,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.15100,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.15110,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.15340,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.15620,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.15670,Unknown,"diacylglycerol kinase, putative",ZUnknown,Unknown,Unknown
Tb927.10.15780,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.15820,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.15890,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.15900,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.15920,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.15980,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.16010,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.16080,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.16125,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.16200,Unknown,"Endonuclease-reverse transcriptase/Reverse transcriptase (RNA-dependent DNA polymerase), putative",ZUnknown,Unknown,Unknown
Tb927.10.1640,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.1650,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.1670,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.1700,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.1750,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.1760,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.1780,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.1790,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.1920,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.2070,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.2150,Unknown,mitochondrial calcium uniporter,ZUnknown,Unknown,cytoplasm[points]
Tb927.10.2160,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.2170,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.2280,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.2360,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.2400,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.2420,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.2450,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.2500,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.2600,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.2820,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.2830,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.2850,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.3050,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.320,microtubule structures 1,"zinc finger protein, MYND-type, putative",ZUnknown,microtubule structures 1,basal body
Tb927.10.3360,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.3400,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.3410,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.3600,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.3620,secretory/endocytic 1,"Laminin-like protein, putative",ZUnknown,secretory/endocytic 1,"endocytic,cytoplasm[weak]"
Tb927.10.3830,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.3850,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.3910,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.40,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.4020,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,0
Tb927.10.4090,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.410,Unknown,"F-box protein, putative",ZUnknown,Unknown,Unknown
Tb927.10.4140,Unknown,"Protein of Unknown function (DUF1242), putative",ZUnknown,Unknown,Unknown
Tb927.10.4190,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.4340,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.4350,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.4360,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.4400,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,mitochondrion
Tb927.10.4410,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.4420,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.4530,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,cytoplasm[reticulated]
Tb927.10.4650,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.480,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.4810,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.4960,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.4970,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.5100,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.5160,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.5650,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.5720,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.5730,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.5740,Unknown,"Protein of Unknown function (DUF778), putative",ZUnknown,Unknown,"endocytic,cytoplasm[weak]"
Tb927.10.580,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.5800,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.6040,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.610,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.6100,Unknown,"Protein of Unknown function (DUF2419), putative",ZUnknown,Unknown,Unknown
Tb927.10.6250,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,"nucleus[points],cytoplasm[points]"
Tb927.10.6270,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.6420,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.6430,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.6470,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.6520,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.6560,Unknown,"Protein of Unknown function DUF72, putative",ZUnknown,Unknown,Unknown
Tb927.10.6620,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.6740,secretory/endocytic 1,"Plasma-membrane choline transporter, putative",ZUnknown,secretory/endocytic 1,0
Tb927.10.6770,Unknown,"BRCA1 C Terminus (BRCT) domain containing protein, putative",ZUnknown,Unknown,Unknown
Tb927.10.6890,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.7040,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.7150,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.7170,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.7220,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.7370,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.7375,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.7460,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.7530,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.7640,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.7650,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.7660,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.7720,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.7950,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.8260,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.8275,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.8295,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.8340,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.8350,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.8375,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.8585,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.8700,Unknown,selenoprotein K,ZUnknown,Unknown,Unknown
Tb927.10.8740,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.8760,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.8840,Unknown,SUMO-interacting motif-containing protein,ZUnknown,Unknown,Unknown
Tb927.10.90,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.9030,Unknown,"Mechanosensitive ion channel MscS, putative",ZUnknown,Unknown,Unknown
Tb927.10.9170,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.9220,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.9290,Unknown,"Phosphoseryl-tRNA Kinase, putative",ZUnknown,Unknown,Unknown
Tb927.10.9320,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.9340,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.9465,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.9510,secretory/endocytic 1,hypothetical protein,ZUnknown,secretory/endocytic 1,0
Tb927.10.9530,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.9550,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.9610,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.9630,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.9675,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.9710,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.10.9730,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.10.9940,Unknown,"Predicted membrane protein, putative",ZUnknown,Unknown,Unknown
Tb927.11.10075,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.11.10440,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.11.10470,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.11.105,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.11.10530,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.11.10830,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.11.10890,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.11.11060,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.11.11400,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.11.11420,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.11.11425,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.11.11910,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.11.11970,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.11.11990,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.11.12000,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.11.12010,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.11.12130,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.11.12140,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.11.12170,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,"cytoplasm[points],flagellar cytoplasm"
Tb927.11.12400,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,"endocytic,cytoplasm[weak]"
Tb927.11.12620,Unknown,"Glucosidase II beta subunit-like, putative",ZUnknown,Unknown,Unknown
Tb927.11.12660,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.11.12730,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.11.13100,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.11.13160,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.11.13420,Unknown,"PPPDE putative peptidase domain containing protein, putative",ZUnknown,Unknown,"endocytic,cytoplasm"
Tb927.11.13530,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.11.13630,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.11.13720,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.11.13785,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.11.14010,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.11.14060,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.11.14180,Unknown,"CLASP N terminal, putative",ZUnknown,Unknown,Unknown
Tb927.11.14320,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.11.14420,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.11.14500,Unknown,"Pseudokinase, putative",ZUnknown,Unknown,Unknown
Tb927.11.14510,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.11.14530,Unknown,"WLM domain containing protein, putative",ZUnknown,Unknown,Unknown
Tb927.11.14640,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.11.14705,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.11.14860,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.11.14940,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.11.15080,Unknown,"Transmembrane proteins 14C, putative",ZUnknown,Unknown,Unknown
Tb927.11.15255,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.11.15360,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.11.15380,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.11.15390,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.11.15410,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.11.155,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.11.15510,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.11.15540,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.11.15620,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.11.15660,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.11.1570,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.11.15720,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.11.1580,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.11.15855,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.11.16180,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.11.16190,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.11.16260,Unknown,"SPRY domain/HECT-domain (ubiquitin-transferase), putative",ZUnknown,Unknown,cytoplasm[points]
Tb927.11.16520,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.11.16575,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.11.16615,Unknown,"Protein of Unknown function (DUF2638), putative",ZUnknown,Unknown,Unknown
Tb927.11.16620,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.11.16780,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.11.16800,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.11.16915,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.11.16940,Unknown,"MIZ/SP-RING zinc finger, putative",ZUnknown,Unknown,Unknown
Tb927.11.16950,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.11.16960,Unknown,SUMO-interacting motif-containing protein,ZUnknown,Unknown,Unknown
Tb927.11.17830,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.11.17860,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.11.17900,Unknown,"Trypanosomal VSG domain containing protein, putative",ZUnknown,Unknown,Unknown
Tb927.11.17910,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.11.18700,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.11.18780,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.11.1920,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.11.19800,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.11.19810,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.11.19840,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.11.20410,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.11.20420,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.11.2160,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.11.2170,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.11.2460,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.11.2480,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.11.2820,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.11.2850,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.11.2870,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.11.2980,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.11.3040,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.11.3200,Unknown,"Histone methylation protein DOT1, putative",ZUnknown,Unknown,Unknown
Tb927.11.3210,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.11.3560,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.11.365,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.11.3720,Unknown,"Ring finger domain containing protein, putative",ZUnknown,Unknown,0
Tb927.11.380,Unknown,B9 domain-containing protein 2,ZUnknown,Unknown,Unknown
Tb927.11.3810,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.11.390,Unknown,"SPRY domain containing protein, putative",ZUnknown,Unknown,Unknown
Tb927.11.3960,Unknown,"btb/poz domain containing protein, putative",ZUnknown,Unknown,Unknown
Tb927.11.4070,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.11.4090,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.11.4310,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.11.4440,Unknown,hypothetical protein,ZUnknown,Unknown,Unknown
Tb927.11.4560,Unknown,"zinc finger protein, RING-type, putative",ZUnknown,Unknown,Unknown
Tb927.11.4590,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
Tb927.11.4620,Unknown,"hypothetical protein, conserved",ZUnknown,Unknown,Unknown
